date;Region;dengue;dengue hemorragico;mosquito dengue;dolor de cabeza;mosquitos;sintomas dengue;vomito
2007-01-07;CO-CUN;0;39;0;0;0;0;67
2007-01-14;CO-CUN;26;0;0;0;0;0;0
2007-01-21;CO-CUN;0;0;0;39;0;0;0
2007-01-28;CO-CUN;0;0;0;0;0;0;0
2007-02-04;CO-CUN;0;0;0;25;0;0;0
2007-02-11;CO-CUN;0;0;0;0;0;0;0
2007-02-18;CO-CUN;0;0;0;0;76;0;37
2007-02-25;CO-CUN;0;34;0;0;0;0;33
2007-03-04;CO-CUN;0;100;0;0;0;0;0
2007-03-11;CO-CUN;0;0;0;0;66;0;70
2007-03-18;CO-CUN;35;0;0;0;0;0;60
2007-03-25;CO-CUN;0;0;0;44;0;0;37
2007-04-01;CO-CUN;0;26;0;0;0;0;0
2007-04-08;CO-CUN;21;18;0;0;0;0;0
2007-04-15;CO-CUN;0;0;0;33;0;0;52
2007-04-22;CO-CUN;0;15;0;56;0;0;63
2007-04-29;CO-CUN;53;16;0;20;0;0;0
2007-05-06;CO-CUN;15;0;0;22;0;0;25
2007-05-13;CO-CUN;0;0;0;0;0;0;0
2007-05-20;CO-CUN;21;0;0;61;0;0;54
2007-05-27;CO-CUN;16;0;0;0;0;47;0
2007-06-03;CO-CUN;24;0;0;0;54;0;100
2007-06-10;CO-CUN;100;0;0;0;0;65;43
2007-06-17;CO-CUN;30;0;0;50;0;0;0
2007-06-24;CO-CUN;15;0;0;0;0;0;21
2007-07-01;CO-CUN;0;17;0;69;69;0;0
2007-07-08;CO-CUN;16;0;0;0;0;0;91
2007-07-15;CO-CUN;24;23;0;77;0;0;0
2007-07-22;CO-CUN;13;0;0;36;100;0;0
2007-07-29;CO-CUN;0;0;0;0;71;0;56
2007-08-05;CO-CUN;17;0;0;0;0;45;56
2007-08-12;CO-CUN;14;0;0;0;71;0;0
2007-08-19;CO-CUN;0;0;0;28;0;0;0
2007-08-26;CO-CUN;36;0;0;19;41;0;0
2007-09-02;CO-CUN;35;0;0;39;0;0;25
2007-09-09;CO-CUN;32;0;0;21;0;0;0
2007-09-16;CO-CUN;14;12;0;100;0;0;31
2007-09-23;CO-CUN;16;0;0;31;37;0;0
2007-09-30;CO-CUN;0;0;0;14;0;71;0
2007-10-07;CO-CUN;0;0;0;30;0;0;0
2007-10-14;CO-CUN;33;0;0;0;0;0;25
2007-10-21;CO-CUN;0;0;0;12;77;0;0
2007-10-28;CO-CUN;22;0;0;0;62;0;20
2007-11-04;CO-CUN;0;27;0;22;0;0;0
2007-11-11;CO-CUN;13;0;0;44;0;0;22
2007-11-18;CO-CUN;13;0;0;0;46;0;16
2007-11-25;CO-CUN;38;0;0;30;0;0;24
2007-12-02;CO-CUN;23;0;0;31;0;0;0
2007-12-09;CO-CUN;30;0;0;21;0;0;0
2007-12-16;CO-CUN;0;18;0;26;0;100;0
2007-12-23;CO-CUN;29;0;0;28;0;0;57
2007-12-30;CO-CUN;0;0;0;0;0;49;0
2008-01-06;CO-CUN;0;59;0;34;0;0;38
2008-01-13;CO-CUN;61;0;0;28;0;0;0
2008-01-20;CO-CUN;89;35;0;0;0;0;24
2008-01-27;CO-CUN;0;0;0;66;0;0;25
2008-02-03;CO-CUN;0;0;0;53;0;24;35
2008-02-10;CO-CUN;0;0;0;47;0;0;0
2008-02-17;CO-CUN;25;0;0;64;0;0;0
2008-02-24;CO-CUN;46;0;0;0;0;0;0
2008-03-02;CO-CUN;0;0;0;30;0;21;22
2008-03-09;CO-CUN;54;60;0;25;0;0;24
2008-03-16;CO-CUN;53;28;0;41;57;0;47
2008-03-23;CO-CUN;38;0;0;42;0;0;0
2008-03-30;CO-CUN;79;0;0;0;0;0;0
2008-04-06;CO-CUN;89;100;0;39;0;0;39
2008-04-13;CO-CUN;63;0;0;17;0;0;28
2008-04-20;CO-CUN;71;0;0;46;0;0;50
2008-04-27;CO-CUN;50;0;0;18;27;0;0
2008-05-04;CO-CUN;100;44;0;0;0;0;37
2008-05-11;CO-CUN;57;0;0;0;100;0;30
